Brand,Name,Price,Styles,Review Count,Star Rating,Product Details,Product Details Alt,5 Stars,4 Stars,3 Stars,2 Stars,1 Stars
,Herschel Supply Co. Novel Duffle Bag,65.00,Black Grid; Black/Black; Black/Blueprint/White; Black/Tan; Canteen Crosshatch; Eclipse Crosshatch; Grey/Tan; Navy; Navy/Tan; Ocean Depths Grid; Raven Crosshatch; Windsor Wine Grid/Black; Windsor Wine/tan; Winetasting Crosshatch,751 customer reviews,4.2 out of 5 stars,NA,Product Dimensions:  11 x 20.5 x 11.5 inches; Shipping Weight:  2.15 pounds (View shipping rates and policies); Shipping Advisory:  This item must be shipped separately from other items in your order. Additional shipping charges will not apply.; ASIN:  B0077CLHGK; ; Item model number:  10026-00007-OS; Date first available at Amazon.com:  August 8 2005; ; Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; Amazon Best Sellers Rank:  #2442 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#6 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #6 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 751 customer reviews,5 star (59%),4 star (15%),3 star (9%),2 star (7%),1 star (10%)
Ledmark,Ledmark Heavyweight Cotton Canvas Outback Duffle Bag,25.99 - 149.99,Green; Black,684 customer reviews,4.6 out of 5 stars,NA,Shipping Information:  View shipping rates and policies; ASIN:  B00BHLBCTO; Average Customer Review: 684 customer reviews; Amazon Best Sellers Rank:  #1807 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#8 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #8 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels,5 star (72%),4 star (18%),3 star (4%),2 star (3%),1 star (3%)
,Olympia USA 33 Inch 8 Pocket Rolling Duffel,42.99,Black; Black w/ Beige - Exclusive Color; Charcoal Gray w/ Black - Exclusive Color; Dark Lavender; Green; Hot Pink; Navy; Navy w/ Black - Exclusive Color; Red; Royal Blue,1158 customer reviews,3.7 out of 5 stars,NA,Package Dimensions:  32 x 12 x 5 inches; Shipping Weight:  6.7 pounds (View shipping rates and policies); ASIN:  B075M3XB74; ; Date first available at Amazon.com:  September 13 2017; Amazon Best Sellers Rank:  #2324 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry); Average Customer Review: 1158 customer reviews,5 star (54%),4 star (16%),3 star (8%),2 star (7%),1 star (15%)
,Olympia Luggage 22" 8 Pocket Rolling Duffel Bag,27.97,Black; Black / Gray; Black w/ Beige - Exclusive Color; Black+chevron; Black+red; Black/Lime; Black/Purple; Black/Yellow; Charcoal Gray w/ Black - Exclusive Color; Dark Lavender; Gray+lime; Green; Hot Pink; Navy; Navy / Gray; Purple/Grey; Red; Royal Blue,1621 customer reviews,4.3 out of 5 stars,NA,Product Dimensions:  12 x 12 x 22 inches; Shipping Weight:  4.9 pounds (View shipping rates and policies); ASIN:  B00144MBWQ; ; Item model number:  srd-22-Black-One Size; Date first available at Amazon.com:  March 16 2004; ; Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; Amazon Best Sellers Rank:  #1131 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#1 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #1 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 1621 customer reviews,5 star (62%),4 star (19%),3 star (8%),2 star (5%),1 star (6%)
Plambag,Plambag Unisex's Canvas Duffel Bag Oversized Travel Tote Luggage Bag,29.99,Grey; Army Green; Coffee; Dark Grey,739 customer reviews,4.3 out of 5 stars,NA,Shipping Weight:  3 pounds (View shipping rates and policies); ASIN:  B071CGD1TX; Item model number:  PB058DG; Average Customer Review: 739 customer reviews; Amazon Best Sellers Rank:  #1169 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#3 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #3 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels,5 star (69%),4 star (14%),3 star (6%),2 star (6%),1 star (5%)
,Samsonite Tote-A-Ton 32.5 inch Duffel,20.24,Black; Purple; Red; Turquiose,1875 customer reviews,4.5 out of 5 stars,NA,Product Dimensions:  33 x 17 x 11.5 inches; Shipping Weight:  2 pounds (View shipping rates and policies); ASIN:  B003KR1K4A; ; Item model number:  41210; Date first available at Amazon.com:  June 18 2010; ; Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; Amazon Best Sellers Rank:  #2087 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#4 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #4 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 1875 customer reviews,5 star (71%),4 star (17%),3 star (6%),2 star (3%),1 star (3%)
Dakine,Dakine - Unisex Split Roller Luggage Bag - Durable Construction - Split-WingCollapsible Brace Level - Exterior Quick Access Pockets - Multiple Color Choices - 85L and 110L,167.96 - 435.91,Black; Burnt Rose; Carbon; Copper; Cortez; Dark Navy; Field Camo; Fireside II; Kalea; Stacked; Furrow,97 customer reviews,4.5 out of 5 stars,NA,Product Dimensions:  13 x 32 x 17 inches ; 12.1 pounds; Shipping Weight:  15 pounds (View shipping rates and policies); Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; ASIN:  B07543BV2D; Item model number:  10000783; Average Customer Review: 97 customer reviews; Amazon Best Sellers Rank:  #6486 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#151 in Sports & Outdoors > Outdoor Recreation > Winter Sports > Snowboarding; #151 in Sports & Outdoors > Outdoor Recreation > Winter Sports > Snowboarding,5 star (82%),4 star (6%),3 star (9%),2 star (1%),1 star (2%)
Gonex,Gonex 60L Packable Travel Duffle Bag Lightweight Water& Tear Resistant,23.99,Black; Blue; Dark Green; Deep Blue; Gold; Gray; Green; MARPAT Desert; MARPAT Woodland; Multicam; Purple; Red; Rose Red; Typhon,543 customer reviews,4.6 out of 5 stars,NA,Shipping Weight:  2 pounds (View shipping rates and policies); ASIN:  B075LGCZNR; Average Customer Review: 543 customer reviews; Amazon Best Sellers Rank:  #931 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#76 in Clothing Shoes & Jewelry > Luggage & Travel Gear; #76 in Clothing Shoes & Jewelry > Luggage & Travel Gear,5 star (76%),4 star (17%),3 star (4%),2 star (1%),1 star (2%)
,Delsey Quilted Rolling UnderSeat Tote- EXCLUSIVE,89.99,Black; Navy; Teal,611 customer reviews,4.4 out of 5 stars,NA,Product Dimensions:  9 x 14.5 x 14 inches; Shipping Weight:  6.95 pounds (View shipping rates and policies); ASIN:  B00BT79GOY; ; Date first available at Amazon.com:  March 13 2013; Amazon Best Sellers Rank:  #7933 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#13 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #13 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 611 customer reviews,5 star (65%),4 star (20%),3 star (7%),2 star (4%),1 star (4%)
,Rockland Luggage 22 Inch Rolling Duffle Bag,24.65,Black; Black/pink dot; Blackdot; Blue Leopard; Brown; Brown Giraffe Print; Camouflage; Charcoal; Heart1; Hearts (New); Icon; Kensington black/white; Leopard Print; Lime zebra; Magenta Leopard; Mulblue Dot; Multiple pink dot; Navy; New black dot; Orange; Orange/Black; Owl; Peace; Pink; Pink Chevron; Pink Leopard; Pink Peace; Pink Polka Dot (New); Pink Vegas; Pink Zebra; Pink giraffe; PinkBandana; Pucci; Purple pearl; Turquoise; Zebra,1684 customer reviews,3.8 out of 5 stars,NA,Product Dimensions:  22 x 12 x 11 inches; Shipping Weight:  4.3 pounds (View shipping rates and policies); ASIN:  B000SRL6TY; ; California residents:  Click here for Proposition 65 warning; Item model number:  PRD322-BLACK; Date first available at Amazon.com:  August 22 2007; ; Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; Amazon Best Sellers Rank:  #1962 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#2 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #2 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 1684 customer reviews,5 star (53%),4 star (17%),3 star (9%),2 star (8%),1 star (13%)
