Brand,Name,Price,Styles,Review Count,Star Rating,Product Details,Product Details Alt,5 Stars,4 Stars,3 Stars,2 Stars,1 Stars,Url
,AmazonBasics Hardside Spinner Luggage Black,49.99,2-piece set (20"/28"); 20-inch; 24-inch; 24-inch (carbon black); 28-inch; 3-piece set (20"/24"/28"),428 customer reviews,4.4 out of 5 stars,NA,Product Dimensions:  14 x 9.4 x 22 inches; Shipping Weight:  9.95 pounds (View shipping rates and policies); ASIN:  B071VG5N9D; ; California residents:  Click here for Proposition 65 warning; Item model number:  N989; Date first available at Amazon.com:  July 24 2017; Amazon Best Sellers Rank:  #499 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry); Average Customer Review: 428 customer reviews,5 star (74%),4 star (13%),3 star (5%),2 star (2%),1 star (6%),https://www.amazon.com/AmazonBasics-Hardside-Spinner-Luggage-Carry/dp/B071VG5N9D/ref=lp_15743251_1_1
,Rockland Melbourne 20-Inch Expandable Abs Carry On Luggage,35.99,Black; Blue; 2Toneblue; 2Tonegreen; 2Tonenavy; Blackwave; Blue 2 Tone; Bronze; Brown; Carbon; Champagne; Charcoal; Fiber; Goldwave; Green; Green 2 Tone; Grey; Lime; Magenta; Metallic; Mint; Mint Green; Navy; Orange; Orange/Navy 2 Tone; Pink; Purple; Quilt; Red; Silver; Silverwave; Sterling; Turquoise,2005 customer reviews,4.2 out of 5 stars,NA,Product Dimensions:  13 x 10 x 20 inches; Shipping Weight:  7.95 pounds (View shipping rates and policies); ASIN:  B00BL9XDVC; ; Item model number:  F145-PURPLE; Date first available at Amazon.com:  February 26 2013; ; Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; Amazon Best Sellers Rank:  #325 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#1 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Carry-Ons; #1 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Carry-Ons; Average Customer Review: 2005 customer reviews,5 star (61%),4 star (18%),3 star (7%),2 star (5%),1 star (9%),https://www.amazon.com/Rockland-Luggage-Melbourne-Expandable-Purple/dp/B00BL9XDVC/ref=lp_15743251_1_2
,Samsonite Winfield 2 Hardside 28" Luggage,109.99,Brushed Anthracite; Brushed Black; Burgundy; Charcoal; Deep Blue; Orange; Purple,831 customer reviews,4.3 out of 5 stars,NA,Product Dimensions:  19.8 x 12.5 x 28 inches; Shipping Weight:  14.4 pounds (View shipping rates and policies); ASIN:  B00EALLN56; ; Item model number:  56846; Date first available at Amazon.com:  August 16 2013; Amazon Best Sellers Rank:  #1169 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#2 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Suitcases; #2 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Suitcases; Average Customer Review: 831 customer reviews,5 star (66%),4 star (16%),3 star (8%),2 star (3%),1 star (7%),https://www.amazon.com/Samsonite-Winfield-Hardside-Luggage-Charcoal/dp/B00EALLN56/ref=lp_15743251_1_3
,Samsonite Winfield 2 Fashion 28 Spinner Brushed Black,159.99,,NA,NA,NA,Product Dimensions:  19 x 12 x 28 inches; Shipping Weight:  14 pounds (View shipping rates and policies); ASIN:  B0788J86DD; ; Date first available at Amazon.com:  January 3 2018; Amazon Best Sellers Rank:  #454041 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#532 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Suitcases; #532 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Suitcases; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A,https://www.amazon.com/Samsonite-Winfield-Fashion-Spinner-Brushed/dp/B0788J86DD/ref=lp_15743251_1_4
,Samsonite Omni PC Hardside 3 Piece Set 20 24 28 Spinner,259.99,Black; Bronze; Burnt Orange; Caribbean Blue; Navy; Purple; Radiant Pink; Red; Silver; Teal,347 customer reviews,4.5 out of 5 stars,NA,Product Dimensions:  28.5 x 20.5 x 13.5 inches; Shipping Weight:  24 pounds (View shipping rates and policies); ASIN:  B0161EDSUC; ; Item model number:  68311; Date first available at Amazon.com:  August 14 2015; Amazon Best Sellers Rank:  #4835 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#7 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Luggage Sets; #7 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Luggage Sets; Average Customer Review: 347 customer reviews,5 star (76%),4 star (12%),3 star (4%),2 star (4%),1 star (4%),https://www.amazon.com/Samsonite-68311-1041-Hardside-Spinner-Black/dp/B013WFOBYA/ref=lp_15743251_1_5
,Rockland Luggage 2 Piece Set,38.96,Black; Blue; Black Dot; Black/Gray; Blackcross; Blue Leopard; Bluedot; Brown; Camouflage; Charcoal; Chevron; Giraffee; Gray w/ Black; Green Camo; Hearts (New); Lime Zebra; Magenta Leopard; Mulpink Dots; Navy; New Black Dot; Orange; Owl; Peace; Pink; Pink Bandana; Pink Dot; Pink Giraffe; Pink Leopard; Pinkcross; Pinkzebra; Plaid; Pucci; Purple; Purple Leopard; Purple Pearl; Red; Tribal; Turquoise; Zebra; Zebra/Pink,3848 customer reviews,4.1 out of 5 stars,NA,Product Dimensions:  8 x 13 x 19 inches; Shipping Weight:  7.55 pounds (View shipping rates and policies); ASIN:  B00C6OV63S; ; California residents:  Click here for Proposition 65 warning; Item model number:  F102-CHARCOAL; Date first available at Amazon.com:  April 4 2013; ; Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; Amazon Best Sellers Rank:  #270 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#1 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Luggage Sets; #1 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Luggage Sets; Average Customer Review: 3848 customer reviews,5 star (56%),4 star (20%),3 star (10%),2 star (6%),1 star (8%),https://www.amazon.com/Rockland-Luggage-Piece-Charcoal-Size/dp/B00C6OV63S/ref=lp_15743251_1_6
,Samsonite Winfield 2 Fashion Hardside 3 Piece Set,229.99,Brushed Anthracite; Brushed Black; Burgundy; Charcoal; Deep Blue; Orange; Purple,524 customer reviews,4.1 out of 5 stars,NA,Product Dimensions:  28 x 19.8 x 12.5 inches; Shipping Weight:  30.1 pounds (View shipping rates and policies); ASIN:  B00EALLQ7Q; ; Item model number:  56847; Date first available at Amazon.com:  August 16 2013; Amazon Best Sellers Rank:  #2343 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#3 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Suitcases#3 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Luggage Sets; #3 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Suitcases; #3 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Luggage Sets; Average Customer Review: 524 customer reviews,5 star (67%),4 star (14%),3 star (5%),2 star (6%),1 star (8%),https://www.amazon.com/Samsonite-Winfield-Hardside-Luggage-Charcoal/dp/B00EALLQ7Q/ref=lp_15743251_1_7
,Samsonite Omni PC Hardside 20-Inch Spinner,77.99,Black; Bronze; Burnt Orange; Caribbean Blue; Platinum; Purple; Radiant Pink; Red; Silver; Teal,416 customer reviews,4.4 out of 5 stars,NA,Product Dimensions:  19 x 14.5 x 9.8 inches; Shipping Weight:  7.6 pounds (View shipping rates and policies); ASIN:  B013WFNNZI; ; Item model number:  68308-1041; Date first available at Amazon.com:  August 13 2015; Amazon Best Sellers Rank:  #912 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#1 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Suitcases; #1 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Suitcases; Average Customer Review: 416 customer reviews,5 star (69%),4 star (16%),3 star (7%),2 star (3%),1 star (5%),https://www.amazon.com/Samsonite-Omni-Hardside-20-Inch-Spinner/dp/B013WFNNZI/ref=lp_15743251_1_8
,AmazonBasics Softside Spinner Luggage,43.25,18-inch; 2-piece set (21"/29"); 21-inch; 25-inch; 29-inch; 3-piece set (21"/25"/29"); Navy Blue; Black,208 customer reviews,4.3 out of 5 stars,NA,Product Dimensions:  14.6 x 9.4 x 21 inches; Shipping Weight:  8.2 pounds (View shipping rates and policies); ASIN:  B0186K91A0; ; California residents:  Click here for Proposition 65 warning; Item model number:  N802; Date first available at Amazon.com:  October 1 2016; Amazon Best Sellers Rank:  #943 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry); Average Customer Review: 208 customer reviews,5 star (63%),4 star (21%),3 star (7%),2 star (6%),1 star (3%),https://www.amazon.com/AmazonBasics-Softside-Spinner-Luggage-Carry/dp/B0186K91A0/ref=lp_15743251_1_9
,Kenneth Cole Reaction Out of Bounds 20" 4 Wheel Upright,49.99,Charcoal; Cobalt Blue; Lt Silver; Navy; Pink; Purple; Red; Reg Cobalt; Rose Gold - eBags Exclusive; Teal- eBags Exclusive,1023 customer reviews,4.4 out of 5 stars,NA,Product Dimensions:  14.5 x 8.5 x 21.8 inches; Shipping Weight:  7.95 pounds (View shipping rates and policies); Shipping Advisory:  This item must be shipped separately from other items in your order. Additional shipping charges will not apply.; ASIN:  B004TNOAXW; ; Item model number:  5705048; Date first available at Amazon.com:  March 24 2011; ; Domestic Shipping:  Currently item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments please check with the manufacturer regarding warranty and support issues.; International Shipping:  This item is not eligible for international shipping. Learn More; Amazon Best Sellers Rank:  #1624 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#2 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Carry-Ons; #2 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Carry-Ons; Average Customer Review: 1023 customer reviews,5 star (67%),4 star (17%),3 star (6%),2 star (4%),1 star (6%),https://www.amazon.com/Kenneth-Cole-Reaction-Upright-Charcoal/dp/B004TNOAXW/ref=lp_15743251_1_10
