Brand,Name,Price,Styles,Review Count,Star Rating,Product Details,Product Details Alt,5 Stars,4 Stars,3 Stars,2 Stars,1 Stars,Url
,Samsonite Winfield 2 Fashion Hardside 3 Piece Set,229.99,Brushed Anthracite; Brushed Black; Burgundy; Charcoal; Deep Blue; Orange; Purple,524 customer reviews,4.1 out of 5 stars,NA,Product Dimensions:  28 x 19.8 x 12.5 inches; Shipping Weight:  30.1 pounds (View shipping rates and policies); ASIN:  B00EALLQ7Q; ; Item model number:  56847; Date first available at Amazon.com:  August 16 2013; Amazon Best Sellers Rank:  #2736 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#3 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Luggage Sets#4 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Suitcases; #3 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Luggage Sets; #4 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Suitcases; Average Customer Review: 524 customer reviews,5 star (67%),4 star (14%),3 star (5%),2 star (6%),1 star (8%),https://www.amazon.com/Samsonite-Winfield-Hardside-Luggage-Charcoal/dp/B00EALLQ7Q/ref=lp_15743241_1_1
Perry Ellis,Perry Ellis Rolling Laptop Business Bag,61.74,,112 customer reviews,4.0 out of 5 stars,NA,Product Dimensions:  9.5 x 16 x 15.5 inches; Shipping Weight:  4.62 pounds (View shipping rates and policies); ASIN:  B01J6MH55A; ; Date first available at Amazon.com:  February 4 2016; Amazon Best Sellers Rank:  #32432 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#587 in Computers & Accessories > Laptop Accessories > Bags Cases & Sleeves; #587 in Computers & Accessories > Laptop Accessories > Bags Cases & Sleeves; Average Customer Review: 112 customer reviews,5 star (53%),4 star (18%),3 star (15%),2 star (7%),1 star (7%),https://www.amazon.com/Perry-Ellis-Rolling-Laptop-Case/dp/B019RTVYZY/ref=lp_15743241_1_2
CROP IN STYLE,Crop In Style 60001 XXL Rolling Tote Black,101.78,,250 customer reviews,4.6 out of 5 stars,Product Dimensions: 19 x 15.5 x 20.1 inches; Shipping Weight: 21 pounds (View shipping rates and policies); Item model number: 60001; ASIN: B000P0RDY6; Customer Reviews: 250 customer reviews4.6 out of 5 stars; Best Sellers Rank: #3993 in Arts Crafts & Sewing (See Top 100 in Arts Crafts & Sewing)#34 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Totes,NA,5 star (79%),4 star (11%),3 star (6%),2 star (3%),1 star (1%),https://www.amazon.com/Crop-Style-60001-Rolling-Black/dp/B000P0RDY6/ref=lp_15743241_1_3
,Olympia Fashion Rolling Shopper Tote,19.77,Black; Aspen Chevron; Black Polka Dots; Blue Polka Dots; Butterfly; Chevron; Citrus Chevron; Damask Black; Giraffe; Hawaii; Houndstooth; Ink Blots; Lime Polka Dots; Pink Polka Dots; Red; Sports; Tribal; Zebra Black,748 customer reviews,4.3 out of 5 stars,NA,Product Dimensions:  8 x 14 x 20 inches; Shipping Weight:  4.3 pounds (View shipping rates and policies); ASIN:  B008G8C1VO; ; Item model number:  RS-400-HT; Date first available at Amazon.com:  June 30 2012; Amazon Best Sellers Rank:  #2935 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#1 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Totes; #1 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Totes; Average Customer Review: 748 customer reviews,5 star (65%),4 star (18%),3 star (7%),2 star (6%),1 star (4%),https://www.amazon.com/Olympia-Fashion-Rolling-Shopper-Tote/dp/B008G8C1VO/ref=lp_15743241_1_4
,Solo Full-grain Leather 15.6-Inch Laptop Carryall Espresso VTA801-3,67.89,,344 customer reviews,4.4 out of 5 stars,NA,Product Dimensions:  16 x 13.5 x 5.5 inches; Shipping Weight:  3.3 pounds (View shipping rates and policies); ASIN:  B000V4X22I; ; California residents:  Click here for Proposition 65 warning; Item model number:  VTA801-3; Date first available at Amazon.com:  June 17 2003; Average Customer Review: 344 customer reviews,5 star (68%),4 star (18%),3 star (9%),2 star (3%),1 star (2%),https://www.amazon.com/Solo-Leather-Laptop-Carryall-Espresso/dp/B000V4X22I/ref=lp_15743241_1_5
,Travelon Anti-theft Heritage Hobo Bag,42.49,Indigo; Navy - 13" X 10" X 4"; Pewter; Wine,91 customer reviews,4.3 out of 5 stars,NA,Product Dimensions:  13 x 10 x 4 inches; Shipping Weight:  1.5 pounds (View shipping rates and policies); ASIN:  B01CG1MW2Y; ; Item model number:  33072 540; Date first available at Amazon.com:  March 2 2016; Amazon Best Sellers Rank:  #25222 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#23 in Clothing Shoes & Jewelry > Women > Handbags & Wallets > Hobo Bags#13227 in Clothing Shoes & Jewelry > Women > Shops; #23 in Clothing Shoes & Jewelry > Women > Handbags & Wallets > Hobo Bags; #13227 in Clothing Shoes & Jewelry > Women > Shops; Average Customer Review: 91 customer reviews,5 star (62%),4 star (19%),3 star (8%),2 star (8%),1 star (3%),https://www.amazon.com/Travelon-Anti-theft-Heritage-Hobo-Pewter/dp/B01CG1MW2Y/ref=lp_15743241_1_6
,Travelon Anti-theft Heritage Crossbody Bag,34.00,Beige; Grey; Indigo Blue; Merlot; Navy; Oatmeal; Pewter; Red,133 customer reviews,4.0 out of 5 stars,NA,Product Dimensions:  9.8 x 7.8 x 2.5 inches; Shipping Weight:  1.1 pounds (View shipping rates and policies); ASIN:  B01CG1J7XG; ; Item model number:  33071 540; Date first available at Amazon.com:  March 2 2016; Amazon Best Sellers Rank:  #17906 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#50 in Clothing Shoes & Jewelry > Women > Handbags & Wallets > Crossbody Bags#9395 in Clothing Shoes & Jewelry > Women > Shops; #50 in Clothing Shoes & Jewelry > Women > Handbags & Wallets > Crossbody Bags; #9395 in Clothing Shoes & Jewelry > Women > Shops; Average Customer Review: 133 customer reviews,5 star (59%),4 star (14%),3 star (7%),2 star (7%),1 star (13%),https://www.amazon.com/Travelon-Anti-theft-Heritage-Crossbody-Pewter/dp/B01CG1J7XG/ref=lp_15743241_1_7
SMRITI,SMRITI Canvas Tote Bag for Women School Work Travel and Shopping - Black,20.59,Black; Blue; Coffee,105 customer reviews,4.5 out of 5 stars,NA,Product Dimensions:  20.1 x 5.9 x 14.2 inches; Shipping Weight:  1.37 pounds (View shipping rates and policies); ASIN:  B01KSVEOQ6; ; Item model number:  10464859; Date first available at Amazon.com:  August 22 2016; Amazon Best Sellers Rank:  #10357 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#30 in Clothing Shoes & Jewelry > Women > Handbags & Wallets > Totes#37 in Clothing Shoes & Jewelry > Women > Handbags & Wallets > Shoulder Bags#5427 in Clothing Shoes & Jewelry > Women > Shops; #30 in Clothing Shoes & Jewelry > Women > Handbags & Wallets > Totes; #37 in Clothing Shoes & Jewelry > Women > Handbags & Wallets > Shoulder Bags; #5427 in Clothing Shoes & Jewelry > Women > Shops; Average Customer Review: 105 customer reviews,5 star (80%),4 star (9%),3 star (4%),2 star (5%),1 star (2%),https://www.amazon.com/SMRITI-Canvas-School-Travel-Shopping/dp/B01KSVEOQ6/ref=lp_15743241_1_8
,Travelon Anti-theft Heritage Tour Bag,42.49,Indigo; Oatmeal; Pewter,67 customer reviews,4.1 out of 5 stars,NA,Product Dimensions:  9 x 11.5 x 3 inches; Shipping Weight:  1.7 pounds (View shipping rates and policies); ASIN:  B01CHX50FC; ; Item model number:  33074 540; Date first available at Amazon.com:  March 2 2016; Amazon Best Sellers Rank:  #34556 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#444 in Clothing Shoes & Jewelry > Women > Handbags & Wallets#18050 in Clothing Shoes & Jewelry > Women > Shops; #444 in Clothing Shoes & Jewelry > Women > Handbags & Wallets; #18050 in Clothing Shoes & Jewelry > Women > Shops; Average Customer Review: 67 customer reviews,5 star (64%),4 star (12%),3 star (9%),2 star (9%),1 star (6%),https://www.amazon.com/Travelon-Anti-theft-Heritage-Tour-Pewter/dp/B01CHX50FC/ref=lp_15743241_1_9
SMRITI,SMRITI Large Canvas Tote Bag for School Work Travel and Shopping - Dark Grey,20.99,,15 customer reviews,4.5 out of 5 stars,NA,Product Dimensions:  15.3 x 5.9 x 11.8 inches; Shipping Weight:  1.54 pounds (View shipping rates and policies); ASIN:  B072MZF8JF; ; Item model number:  10453765; Date first available at Amazon.com:  April 20 2017; Amazon Best Sellers Rank:  #29914 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#31 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Totes; #31 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Totes; Average Customer Review: 15 customer reviews,5 star (80%),4 star (13%),N/A,2 star (7%),N/A,https://www.amazon.com/SMRITI-Canvas-School-Travel-Shopping/dp/B072MZF8JF/ref=lp_15743241_1_10
